sp	abundance
A_ant	1
A_ina	22
A_nor	33
B_sem	30
C_atl	73
C_aust	1
C_cris	92
C_euc	246
C_for	454
C_leae	1
C_mel	2
C_sch	125
D_aus	7
D_but	1
D_dam	100
D_fras	2
D_gran	42
E_in	252
E_mult	2
G_var	4
H_per	2
L_bur	2
L_dist	50
L_dor	8
L_ed	85
L_taen	24
M_boul	3
M_but	1
M_grey	2
M_hor	5
M_obs	24
N_stel	353
P_spec	1
Pog	41
R_aust	15
R_bit	12
S_ass	6
S_ber	8
T_lin	1
T_occ	2
V_goul	3
